N/A,PHSABC\vccdosim 09-Mar-2022 5:55:31 PM,,,,,,,,,,
x  = Dose ( cGy),y / % transmission,,,,,calibration strips given known dose,,,,,
derived calibration curve ,,,,,,,,,,,
,RED,,GREEN,,BLUE,DOSE (cGy),RED (%),DOSE (cGy),GREEN (%),DOSE (cGy),BLUE (%)
x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6
4518.9,1.2,4518.9,0.5,4518.9,19.7,,,,,,
4531,1.1,4531,0.5,4531,19.7,,,,,,
4543.2,1.1,4543.2,0.4,4543.2,19.7,,,,,,
4555.3,1.1,4555.3,0.4,4555.3,19.7,,,,,,
4567.5,1.1,4567.5,0.4,4567.5,19.7,,,,,,
4579.6,1.1,4579.6,0.4,4579.6,19.7,,,,,,
4591.8,1.1,4591.8,0.3,4591.8,19.7,,,,,,
4603.9,1.1,4603.9,0.3,4603.9,19.7,,,,,,
4616,1.1,4616,0.3,4616,19.7,,,,,,
4628.2,1.1,4628.2,0.3,4628.2,19.7,,,,,,
4640.3,1,4640.3,0.3,4640.3,19.7,,,,,,
4652.5,1,4652.5,0.2,4652.5,19.7,,,,,,
4664.6,1,4664.6,0.2,4664.6,19.7,,,,,,
4676.8,1,4676.8,0.2,4676.8,19.7,,,,,,
4688.9,1,4688.9,0.2,4688.9,19.7,,,,,,
4701.1,1,4701.1,0.1,4701.1,19.6,,,,,,
4713.2,1,4713.2,0.1,4713.2,19.6,,,,,,
4725.4,1,4725.4,0.1,4725.4,19.6,,,,,,
4737.5,1,4737.5,0.1,4737.5,19.6,,,,,,
4749.7,0.9,4749.7,0.1,4749.7,19.6,,,,,,
4761.8,0.9,4761.8,0,4761.8,19.6,,,,,,
4774,0.9,4774,0,4774,19.6,,,,,,
4786.1,0.9,4786.1,0,4786.1,19.6,,,,,,
4798.3,0.9,4798.3,0,4798.3,19.6,,,,,,
4810.4,0.9,4810.4,-0.1,4810.4,19.6,,,,,,
4822.6,0.9,4822.6,-0.1,4822.6,19.6,,,,,,
4834.7,0.9,4834.7,-0.1,4834.7,19.6,,,,,,
4846.8,0.9,4846.8,-0.1,4846.8,19.6,,,,,,
4859,0.8,4859,-0.1,4859,19.6,,,,,,
